GHG Constraint,,,,,,
INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechCost,,,,,,
,,,,,,
region,supplysector,tranSubsector,stub-technology,period,minicam-non-energy-input,input-cost
AK,trn_freight_road,Heavy truck,BEV,1990,non-energy,1.2336
AK,trn_freight_road,Heavy truck,BEV,2005,non-energy,1.2336
AK,trn_freight_road,Heavy truck,BEV,2010,non-energy,1.2336
AK,trn_freight_road,Heavy truck,BEV,2015,non-energy,1.2336
AK,trn_freight_road,Heavy truck,BEV,2020,non-energy,1.2336
AK,trn_freight_road,Heavy truck,BEV,2025,non-energy,0.448038
AK,trn_freight_road,Heavy truck,BEV,2030,non-energy,0.406296
AK,trn_freight_road,Heavy truck,BEV,2035,non-energy,0.3645
AK,trn_freight_road,Heavy truck,BEV,2040,non-energy,0.322704
AK,trn_freight_road,Heavy truck,BEV,2045,non-energy,0.280908
AK,trn_freight_road,Heavy truck,BEV,2050,non-energy,0.234737
AK,trn_freight_road,Heavy truck,BEV,2055,non-energy,0.234737
AK,trn_freight_road,Heavy truck,BEV,2060,non-energy,0.230308
AK,trn_freight_road,Heavy truck,BEV,2065,non-energy,0.225879
AK,trn_freight_road,Heavy truck,BEV,2070,non-energy,0.225879
AK,trn_freight_road,Heavy truck,BEV,2075,non-energy,0.225879
AK,trn_freight_road,Heavy truck,BEV,2080,non-energy,0.225879
AK,trn_freight_road,Heavy truck,BEV,2085,non-energy,0.225879
AK,trn_freight_road,Heavy truck,BEV,2090,non-energy,0.225879
AK,trn_freight_road,Heavy truck,BEV,2095,non-energy,0.225879
AK,trn_freight_road,Heavy truck,BEV,2100,non-energy,0.225879
AK,trn_freight_road,Heavy truck,FCEV,1990,non-energy,0.5737
AK,trn_freight_road,Heavy truck,FCEV,2005,non-energy,0.5737
AK,trn_freight_road,Heavy truck,FCEV,2010,non-energy,0.5737
AK,trn_freight_road,Heavy truck,FCEV,2015,non-energy,0.5737
AK,trn_freight_road,Heavy truck,FCEV,2020,non-energy,0.5737
AK,trn_freight_road,Heavy truck,FCEV,2025,non-energy,0.262548
AK,trn_freight_road,Heavy truck,FCEV,2030,non-energy,0.25353
AK,trn_freight_road,Heavy truck,FCEV,2035,non-energy,0.244512
AK,trn_freight_road,Heavy truck,FCEV,2040,non-energy,0.235494
AK,trn_freight_road,Heavy truck,FCEV,2045,non-energy,0.226476
AK,trn_freight_road,Heavy truck,FCEV,2050,non-energy,0.213431
AK,trn_freight_road,Heavy truck,FCEV,2055,non-energy,0.213431
AK,trn_freight_road,Heavy truck,FCEV,2060,non-energy,0.209404
AK,trn_freight_road,Heavy truck,FCEV,2065,non-energy,0.205377
AK,trn_freight_road,Heavy truck,FCEV,2070,non-energy,0.205377
